id,plataforma,tematica,titulo,creador,url_directa,url_embed,codigo_embed,edad_recomendada,descripcion
YT_01,YouTube,Entretenimiento para Niños,"Pocoyo Temporada 1, 4 EPISODIOS COMPLETOS en español 60 minutos CAPITULO 7",Pocoyo 🇪🇸 Español - Episodios Completos,https://www.youtube.com/watch?v=jtMZl_l4rK4,https://www.youtube.com/embed/jtMZl_l4rK4,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/jtMZl_l4rK4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Pocoyo Temporada 1, 4 EPISODIOS COMPLETOS en español 60 minutos CAPITULO 7""></iframe>",2-5 años,Episodios animados de amistad y empatía
YT_02,YouTube,Entretenimiento para Niños,La Granja de Zenón - Las 35 mejores Canciones de la Granja 1 - 2 y 3 en HD,El Reino Infantil,https://www.youtube.com/watch?v=B1svxwMuLf4,https://www.youtube.com/embed/B1svxwMuLf4,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/B1svxwMuLf4?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""La Granja de Zenón - Las 35 mejores Canciones de la Granja 1 - 2 y 3 en HD""></iframe>",2-5 años,Canciones clásicas de animales con coreografías
YT_03,YouTube,Entretenimiento para Niños,CoComelon en Español | Las ruedas del bus van | Canciones Infantiles y de Cuna,CoComelon en Español - Canciones Infantiles,https://www.youtube.com/watch?v=Sz-kiCBNM4A,https://www.youtube.com/embed/Sz-kiCBNM4A,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/Sz-kiCBNM4A?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""CoComelon en Español | Las ruedas del bus van | Canciones Infantiles y de Cuna""></iframe>",2-5 años,Rimas sobre hábitos diarios y familia
YT_04,YouTube,Entretenimiento para Niños,Plim Plim - 140 Minutos de Capítulos Nuevos y Completos - Dibujos Animados,El Payaso Plim Plim,https://www.youtube.com/watch?v=4vNU_d_StwM,https://www.youtube.com/embed/4vNU_d_StwM,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/4vNU_d_StwM?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Plim Plim - 140 Minutos de Capítulos Nuevos y Completos - Dibujos Animados""></iframe>",2-5 años,Historias de valores humanos y respeto
YT_05,YouTube,Entretenimiento para Niños,Cabeza Hombros Rodillas Y Pies & Más Canciones Infantiles,Super Simple Español - Canciones Infantiles Y Más,https://www.youtube.com/watch?v=In6pWV-XU5M,https://www.youtube.com/embed/In6pWV-XU5M,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/In6pWV-XU5M?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Cabeza Hombros Rodillas Y Pies &amp; Más Canciones Infantiles""></iframe>",2-5 años,Melodías relajantes y educativas preescolares
YT_06,YouTube,Entretenimiento para Niños,CantaJuego - Chuchuwá,CantaJuegoVEVO,https://www.youtube.com/watch?v=8_RWPLfo8Xg,https://www.youtube.com/embed/8_RWPLfo8Xg,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/8_RWPLfo8Xg?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""CantaJuego - Chuchuwá""></iframe>",2-5 años,Estimulación psicomotriz y juego corporal
YT_07,YouTube,Entretenimiento para Niños,¡Episodios Completos de Bluey! 💙 | Temporadas 1 a 3 ⭐️ | Bluey Español Canal Oficial,Bluey - Español Canal Oficial,https://www.youtube.com/watch?v=6sLHsFToPCQ,https://www.youtube.com/embed/6sLHsFToPCQ,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/6sLHsFToPCQ?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""¡Episodios Completos de Bluey! 💙 | Temporadas 1 a 3 ⭐️ | Bluey Español Canal Oficial""></iframe>",2-5 años,Juego imaginativo y resolución creativa
YT_08,YouTube,Entretenimiento para Niños,🔴 LIVE ⭐ Los mejores momentos de Peppa como hermana mayor de la Bebé Evie 🍼 | Episodios Completos,Peppa Pig Español Latino - Canal Oficial,https://www.youtube.com/watch?v=bdxCD23W80M,https://www.youtube.com/embed/bdxCD23W80M,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/bdxCD23W80M?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""🔴 LIVE ⭐ Los mejores momentos de Peppa como hermana mayor de la Bebé Evie 🍼 | Episodios Completos""></iframe>",2-5 años,Aventuras familiares y vocabulario temprano
YT_09,YouTube,Entretenimiento para Niños,El Estreno | Canciones y episodios con la Familia Telerin,Cleo y Cuquin español - Capitulos y Musicas,https://www.youtube.com/watch?v=1Xalzw1zQnU,https://www.youtube.com/embed/1Xalzw1zQnU,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/1Xalzw1zQnU?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""El Estreno | Canciones y episodios con la Familia Telerin""></iframe>",2-5 años,Rutinas del hogar y canciones de cuna
YT_10,YouTube,Entretenimiento para Niños,Masha y el Oso 🍒 ¡Muy delicioso! 🎁 Colección de dibujos animados 🎬 1 hora,Masha y el Oso,https://www.youtube.com/watch?v=-YYHgSfAbdA,https://www.youtube.com/embed/-YYHgSfAbdA,"<iframe width=""200"" height=""113"" src=""https://www.youtube.com/embed/-YYHgSfAbdA?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen title=""Masha y el Oso 🍒 ¡Muy delicioso! 🎁 Colección de dibujos animados 🎬 1 hora""></iframe>",2-5 años,Comedia tierna y amistad en el bosque
